cID,code,dept,section,instructor,rID,day,start_time,end_time
1,B20,CSC,LEC 01,Anna Bretscher,13,Monday,9,11
2,A48,CSC,LEC 01,Francisco Estrada,13,Monday,11,13
3,B20,CSC,TUT 01,Alan Rosselet,12,Tuesday,10,11
4,A48,CSC,PRA 01,Anna Bretscher,12,Tuesday,14,15
5,A01,PSY,LEC 01,Steve Joordens,21,Thursday,9,11
6,A08,CSC,LEC 02,Alan Rosselet,21,Thursday,13,15
7,A08,CSC,LAB 02,Francisco Estrada,25,Wednesday,10,12
8,A01,PSY,TUT 02,Blair Armstrong,25,Wednesday,12,13
9,A02,PSY,LEC 01,Andy Lee,14,Monday,13,15
10,A02,PSY,TUT 01,Laura Cirelli,14,Monday,10,12
11,A01,MGT,LEC 01,Julie McCarthy,22,Friday,15,17
12,A31,MAT,LEC 01,Eric Hart,22,Friday,13,15
13,A10,BIO,LEC 01,Maithe Arruda Carvalho,27,Tuesday,9,10
14,A10,BIO,LAB 01,Jonathan Cant,27,Tuesday,11,13
15,A31,MAT,LEC 02,Eric Hart,27,Friday,13,14
16,A01,MGT,PRA 01,Phani Radhakrishnan,26,Wednesday,9,11
